trial_id,kind,class_name,height_m,speed_mps,status,measurement_completeness_status,artifact_set_complete,performance_verdict,performance_hard_failure,performance_failure_reasons,performance_metric_failure_reasons,p_confirm,p_selected,p_interrupt,stable_id,confirmation_exposure_sec,confirmation_processing_ms,confirmation_pipeline_ms,processing_receipt_reordered,stage_trace_enabled,complete_mapped_frames,partial_only_mapped_frames,complete_mapped_rate,partial_source_sets,p95_detector_inference_ms,p95_detector_processing_ms,eligible_frames,raw_class_frames,raw_geometry_frames,resolved_frames,refined_frames,geometry_verified_frames,association_valid_frames,center_refined_frames,detection_frames,map_valid_frames,failure_stage,map_invalid_rate,map_unavailable_rate,tf_failure_rate,mean_map_error_xy,p95_map_error_xy,map_error_sample_count,entered_fully_in_frame,left_fully_in_frame,expected_duration_sec,actual_duration_sec,expected_speed_mps,actual_speed_mps,camera_pose_frame_count,motion_sample_count,lateral_offset_sample_count,mean_actual_linear_speed_mps,p95_actual_linear_speed_mps,mean_abs_actual_yaw_rate_radps,p95_abs_actual_yaw_rate_radps,mean_abs_normalized_lateral_offset,p95_abs_normalized_lateral_offset,class_group_completed_trials,class_group_p_confirm,class_group_p_selected,class_group_mean_actual_linear_speed_mps,class_group_p95_abs_normalized_lateral_offset,height_group_completed_trials,height_group_p_confirm,height_group_p_selected,height_group_mean_actual_linear_speed_mps,height_group_p95_abs_normalized_lateral_offset,speed_group_completed_trials,speed_group_p_confirm,speed_group_p_selected,speed_group_mean_actual_linear_speed_mps,speed_group_p95_abs_normalized_lateral_offset,confirmed_observations,unexpected_confirmed_observations,disallowed_confirmed_observations,unique_confirmed_targets,policy_rejected_confirmed_observations,selected_observations,unexpected_selected_observations,disallowed_selected_observations,unique_selected_targets,policy_rejected_selected_observations,tank_confirmed_observations,tank_selected_observations,navigation_metrics_mode,navigation_target_stage_capability,navigation_metrics_reason,p_decision,p_dispatch,p_planner_arrival,p_interrupt_reason,navigation_binding_keys,navigation_validation_errors,lateral_bin,visibility_profile,p_confirm_visibility,p_selected_visibility,entered_visibility_window,left_visibility_window,requested_target_path_lateral_offset_m,requested_pixel_offset_x_normalized,target_lateral_sample_count,mean_target_path_lateral_offset_m,p95_abs_target_path_lateral_offset_m,mean_target_pixel_offset_x_normalized,p95_abs_target_pixel_offset_x_normalized,lateral_group_completed_trials,lateral_group_p_confirm,lateral_group_p_selected,lateral_group_p_confirm_visibility,lateral_group_p_selected_visibility,lateral_group_mean_target_path_lateral_offset_m,lateral_group_mean_target_pixel_offset_x_normalized,design_kind,relative_angle_deg,motion_profile,framing,relative_angle_measurement,planned_sample_count,expected_primary_target_id
dynamic_tent_h1p2_v0p5,dynamic,tent,1.2,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,4,0.0,157.1519339995575,184.81110200082185,False,True,162,31,0.8393782383419689,"{""circle_detector"": 1, ""circle_detector+cross_detector"": 24, ""circle_detector+target_detector"": 6}",131.024,134.35859999999997,6,5,6,5,5,5,5,5,5,5,,0.0,0.16666666666666666,0.0,0.04041437087285879,0.0588409708727762,5,True,True,14.0,14.025,0.5,0.49910873440285203,199,168,169,0.49744338722033266,0.8196721311480651,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.4,0.4,0.9494202474548186,0.005603448275824279,25,0.96,0.96,0.5004548294662365,0.005603448275824279,732,642,366,6,705,27,15,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,6,0.0,0.0,0.03917498688652928,0.03939466941724845,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h1p2_v1p0,dynamic,tent,1.2,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,5,0.10099999999999909,68.04348500008928,91.12909600116836,False,True,89,14,0.8640776699029126,"{""circle_detector+cross_detector"": 14}",101.14159999999998,113.20739999999999,3,3,3,3,3,3,3,3,3,3,,0.0,0.0,0.0,0.07523123710629323,0.10365937557001541,3,True,True,7.0,7.098,1.0,0.9861932938856016,106,77,78,0.9916702449145359,1.6164095371675007,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.4,0.4,0.9494202474548186,0.005603448275824279,25,0.84,0.84,0.9973577105605766,0.005603448275824279,396,347,198,6,386,10,6,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,3,0.0,0.0,0.03903248275331084,0.03924149122054638,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h1p2_v1p5,dynamic,tent,1.2,1.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,4,0.1309999999999718,99.21288400073536,142.9072270002507,False,True,61,11,0.8472222222222222,"{""circle_detector+cross_detector"": 11}",94.3999,104.24869999999999,3,3,3,3,3,3,3,3,3,3,,0.0,0.0,0.0,0.08296335717384136,0.08323697985916548,3,True,True,4.666666666666667,4.72,1.5,1.4830508474576272,74,50,51,1.4862493750480394,2.403861915219026,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.4,0.4,0.9494202474548186,0.005603448275824279,25,0.76,0.76,1.5124220717591852,0.005603448275824279,272,237,136,6,266,6,2,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,3,0.0,0.0,0.03912748691593659,0.03931849855530187,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h1p2_v2p0,dynamic,tent,1.2,2.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",False,False,,,,,,False,True,55,9,0.859375,"{""circle_detector+cross_detector"": 9}",168.90684999999996,172.46975,2,2,2,2,2,2,2,2,2,2,target_memory_admission,0.0,0.0,0.0,0.10859694303770959,0.10876027328351699,2,True,True,3.5,3.565,2.0,1.9635343618513323,67,40,41,1.9929851281780808,3.337121212117941,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.4,0.4,0.9494202474548186,0.005603448275824279,25,0.76,0.76,1.9840825537856601,0.005603448275824279,252,218,126,6,249,3,2,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,False,False,True,True,0.0,0.0,2,0.0,0.0,0.03926998702733782,0.03939823086367546,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h1p8_v0p5,dynamic,tent,1.8,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,5,0.0,87.95405700038827,107.68954800005304,False,True,141,24,0.8545454545454545,"{""circle_detector+cross_detector"": 24}",222.34474999999998,227.63475,19,16,19,16,16,16,16,16,16,16,,0.0,0.15789473684210525,0.0,0.04308710849761261,0.06010935241385942,16,True,True,14.0,14.045,0.5,0.4983980064079744,167,143,144,0.4992793523257231,0.7564450474894935,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.95,0.95,0.9613616825883338,0.005603448275824279,25,0.96,0.96,0.5004548294662365,0.005603448275824279,666,583,333,6,613,53,32,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,19,0.0,0.0,0.026101152677558574,0.026805469260256808,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h1p8_v1p0,dynamic,tent,1.8,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,4,0.10799999999994725,135.87909000125364,124.02302200098347,False,True,82,16,0.8367346938775511,"{""circle_detector+cross_detector"": 16}",154.7475,164.9436,9,7,9,7,7,7,7,7,7,7,,0.0,0.2222222222222222,0.0,0.07347941089780557,0.10946506189528099,7,True,True,7.0,7.059,1.0,0.9916418756197761,103,76,77,0.9847774203683363,1.667298219023842,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.95,0.95,0.9613616825883338,0.005603448275824279,25,0.84,0.84,0.9973577105605766,0.005603448275824279,378,330,189,6,354,24,15,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,9,0.0,0.0,0.026064940300525842,0.02667686627695556,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h1p8_v1p5,dynamic,tent,1.8,1.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,5,0.20199999999999818,73.20135200097866,118.56631800037576,False,True,61,12,0.8356164383561644,"{""circle_detector+cross_detector"": 12}",202.204,205.8315,6,6,6,6,6,6,6,6,6,6,,0.0,0.0,0.0,0.13157137477806152,0.20737195846971268,6,True,True,4.666666666666667,4.702,1.5,1.4887282007656317,77,51,52,1.4529342023116567,2.1126760563369347,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.95,0.95,0.9613616825883338,0.005603448275824279,25,0.76,0.76,1.5124220717591852,0.005603448275824279,274,239,137,6,255,19,12,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,6,0.0,0.0,0.02620438943757328,0.026724698381323495,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h1p8_v2p0,dynamic,tent,1.8,2.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,5,0.13799999999991996,225.06027100098436,182.53429800097365,False,True,46,10,0.8214285714285714,"{""circle_detector+cross_detector"": 10}",149.7038,153.2032,6,5,6,5,5,5,5,5,5,5,,0.0,0.16666666666666666,0.0,0.14669438684232947,0.26100547234177973,5,True,True,3.5,3.516,2.0,1.9908987485779295,61,35,36,2.0105408742250783,3.5149638802878007,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.95,0.95,0.9613616825883338,0.005603448275824279,25,0.76,0.76,1.9840825537856601,0.005603448275824279,208,180,104,6,198,10,6,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,6,0.0,0.0,0.026022584567911504,0.026610181698925393,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h2p4_v0p5,dynamic,tent,2.4,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,5,0.0,422.13084399918444,339.8161209988757,False,True,167,26,0.8652849740932642,"{""circle_detector"": 3, ""circle_detector+cross_detector"": 19, ""circle_detector+target_detector"": 4}",213.2794999999999,223.0467999999999,34,28,34,28,28,28,28,28,28,28,,0.0,0.17647058823529413,0.0,0.04263976376931997,0.06099315593537556,28,True,True,14.0,14.025,0.5,0.49910873440285203,197,164,165,0.5040074474281908,0.845338983048566,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,1.0,1.0,0.9540270831662354,0.005603448275824279,25,0.96,0.96,0.5004548294662365,0.005603448275824279,828,719,414,6,734,87,49,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,34,0.0,0.0,0.01956751441285961,0.020413479654412817,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h2p4_v1p0,dynamic,tent,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,5,0.11899999999991451,74.45690699933039,98.90471700055059,False,True,81,15,0.84375,"{""circle_detector+cross_detector"": 15}",266.79365,279.24325,15,12,15,12,12,12,12,12,12,12,,0.0,0.2,0.0,0.07635980511662513,0.10984043357553828,12,True,True,7.0,7.069,1.0,0.9902390720045268,104,77,78,1.00050630766433,1.5533498759300182,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,1.0,1.0,0.9540270831662354,0.005603448275824279,25,0.84,0.84,0.9973577105605766,0.005603448275824279,374,325,187,6,333,38,23,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,15,0.0,0.0,0.01959881500152605,0.020395592277896793,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h2p4_v1p5,dynamic,tent,2.4,1.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,5,0.08900000000016917,131.42949600114662,175.4355459997896,False,True,64,13,0.8311688311688312,"{""circle_detector+cross_detector"": 13}",127.77475000000001,131.8236,12,10,12,10,10,10,10,10,10,10,,0.0,0.16666666666666666,0.0,0.09930356752119646,0.15825851652206524,10,True,True,4.666666666666667,4.693,1.5,1.4915832090347327,84,53,54,1.5142556323377336,2.2854655275609037,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,1.0,1.0,0.9540270831662354,0.005603448275824279,25,0.76,0.76,1.5124220717591852,0.005603448275824279,304,264,152,6,272,30,18,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,12,0.0,0.0,0.01964534822664916,0.02057262592778606,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h2p4_v2p0,dynamic,tent,2.4,2.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,5,0.05899999999996908,125.73830399924191,122.80255999939982,False,True,58,8,0.8787878787878788,"{""circle_detector+cross_detector"": 7, ""circle_detector+target_detector"": 1}",130.176,133.82559999999998,10,9,10,9,9,9,9,9,9,9,,0.0,0.1,0.0,0.08808488391582361,0.11038427048156244,9,True,True,3.5,3.581,2.0,1.9547612398771292,72,47,48,1.9738583052937986,3.5681818181898004,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,1.0,1.0,0.9540270831662354,0.005603448275824279,25,0.76,0.76,1.9840825537856601,0.005603448275824279,286,246,143,6,261,24,13,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,10,0.0,0.0,0.019508149385100548,0.020295420606395904,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h3p0_v0p5,dynamic,tent,3.0,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,5,0.0,128.4041380004055,114.94263399981719,False,True,173,29,0.8564356435643564,"{""circle_detector+cross_detector"": 21, ""circle_detector+target_detector"": 8}",130.35250000000002,136.3735,56,51,56,51,51,51,51,51,51,51,,0.0,0.08928571428571429,0.0,0.03987344461251102,0.06172692908847359,51,True,True,14.0,14.014,0.5,0.4995004995004995,211,183,184,0.49925888073014313,0.860607831677522,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,1.0,1.0,0.9506705264385904,0.005603448275824279,25,0.96,0.96,0.5004548294662365,0.005603448275824279,885,768,443,6,743,109,63,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,56,0.0,0.0,0.015666288322689202,0.016691605217785854,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h3p0_v1p0,dynamic,tent,3.0,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,5,0.0,362.00230499889585,412.51956799897016,False,True,98,13,0.8828828828828829,"{""circle_detector+cross_detector"": 13}",146.87339999999998,151.44199999999998,26,23,26,23,23,23,23,23,23,23,,0.0,0.11538461538461539,0.0,0.08173182539775961,0.1111090977926464,23,True,True,7.0,7.047,1.0,0.9933304952462041,115,87,88,0.9913256655586311,1.5857712765962328,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,1.0,1.0,0.9506705264385904,0.005603448275824279,25,0.84,0.84,0.9973577105605766,0.005603448275824279,484,418,242,6,418,52,30,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,26,0.0,0.0,0.015622120759513244,0.016655802073623827,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h3p0_v1p5,dynamic,tent,3.0,1.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,4,0.07999999999992724,0.0,200.82847000048787,True,True,78,9,0.896551724137931,"{""circle_detector+cross_detector"": 9}",127.2646,130.5282,18,17,18,17,17,17,17,17,17,17,,0.0,0.05555555555555555,0.0,0.11991312093515293,0.23265759774188707,17,True,True,4.666666666666667,4.72,1.5,1.4830508474576272,93,58,59,1.5049194486338222,2.8725811110090773,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,1.0,1.0,0.9506705264385904,0.005603448275824279,25,0.76,0.76,1.5124220717591852,0.005603448275824279,392,336,196,6,350,34,18,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,18,0.0,0.0,0.0156529946604786,0.016532087783765588,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h3p0_v2p0,dynamic,tent,3.0,2.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,4,0.18899999999985084,65.49150099999679,63.21756400029699,False,True,53,5,0.9137931034482759,"{""circle_detector+cross_detector"": 5}",200.58189999999996,213.62714999999997,13,12,13,12,12,12,12,12,12,12,,0.0,0.07692307692307693,0.0,0.1103099184005941,0.20870694199198894,12,True,True,3.5,3.528,2.0,1.9841269841269842,60,40,41,2.0333912421355045,3.578042328053383,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,1.0,1.0,0.9506705264385904,0.005603448275824279,25,0.76,0.76,1.9840825537856601,0.005603448275824279,256,221,128,6,228,24,13,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,13,0.0,0.0,0.01567060391102615,0.01661570228735009,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h3p6_v0p5,dynamic,tent,3.6,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,3,0.0,119.3512819991156,140.66759900015313,False,True,154,17,0.9005847953216374,"{""circle_detector+cross_detector"": 17}",177.0915,183.34999999999997,58,50,58,50,50,50,50,50,50,50,,0.0,0.13793103448275862,0.0,0.04517087284452271,0.062420750162502626,50,True,True,14.0,14.029,0.5,0.49896642668757574,173,151,152,0.5019357656253082,0.8141127606939906,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.8,0.8,0.9589499089255361,0.005603448275824279,25,0.96,0.96,0.5004548294662365,0.005603448275824279,744,636,401,6,649,93,37,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,58,0.0,0.0,0.012994025334894129,0.014174714286812027,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h3p6_v1p0,dynamic,tent,3.6,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,4,0.0,121.96597699949052,197.14508300057787,False,True,90,10,0.9,"{""circle_detector+cross_detector"": 7, ""circle_detector+target_detector"": 3}",187.41855000000004,196.34340000000003,32,30,32,30,30,30,30,30,30,30,,0.0,0.0625,0.0,0.0777483316133598,0.13964514618309132,30,True,True,7.0,7.022,1.0,0.9968669894616918,107,84,85,0.995248595385763,1.7993024730526792,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.8,0.8,0.9589499089255361,0.005603448275824279,25,0.84,0.84,0.9973577105605766,0.005603448275824279,431,368,232,6,378,52,20,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,32,0.0,0.0,0.012984953535529753,0.014186654581873653,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h3p6_v1p5,dynamic,tent,3.6,1.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,4,0.1449999999999818,530.1451930008625,537.2505390005244,False,True,77,4,0.9506172839506173,"{""circle_detector+cross_detector"": 4}",161.37,166.327,22,21,22,21,21,21,21,21,21,21,,0.0,0.045454545454545456,0.0,0.10287269237554159,0.16046312140023686,21,True,True,4.666666666666667,4.733,1.5,1.4789773927741392,86,58,59,1.5417774125347086,2.979039482715094,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.8,0.8,0.9589499089255361,0.005603448275824279,25,0.76,0.76,1.5124220717591852,0.005603448275824279,310,258,189,5,275,35,14,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,22,0.0,0.0,0.013073796495331948,0.014247323030206082,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_tent_h3p6_v2p0,dynamic,tent,3.6,2.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,3,0.0,90.50398900035361,290.7746330001828,False,True,60,8,0.8823529411764706,"{""circle_detector+cross_detector"": 6, ""circle_detector+target_detector"": 2}",96.29425,100.69975,18,16,18,16,16,16,16,16,16,16,,0.0,0.1111111111111111,0.0,0.10489156970564555,0.2106517967332456,16,True,True,3.5,3.621,2.0,1.9331676332504832,74,44,45,1.9665753398549068,3.248423707443283,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.95,0.95,0.9602425547178193,0.004642857142825815,20,0.8,0.8,0.9589499089255361,0.005603448275824279,25,0.76,0.76,1.9840825537856601,0.005603448275824279,239,197,145,5,213,26,8,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,18,0.0,0.0,0.01297566673142507,0.01411023290850868,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
dynamic_pillbox_h1p2_v0p5,dynamic,pillbox,1.2,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]","[""threshold_failed:p95_confirmation_processing_ms:448.18065729868994:200.0""]",True,True,,2,0.0,166.20899599911354,298.3160309995583,False,True,180,25,0.8780487804878049,"{""circle_detector"": 1, ""circle_detector+cross_detector"": 14, ""circle_detector+target_detector"": 10}",277.036,279.916,7,6,7,6,6,6,6,6,6,6,,0.0,0.14285714285714285,0.0,0.028830537181238028,0.03305119490167636,6,True,True,14.0,14.049,0.5,0.4982561036372696,212,185,186,0.5008689144487968,0.8620689655173465,0.0,0.0,0.004642857142825815,0.004642857142825815,20,0.65,0.65,0.9484147076976176,0.004642857142825815,20,0.4,0.4,0.9494202474548186,0.005603448275824279,25,0.96,0.96,0.5004548294662365,0.005603448275824279,590,487,295,6,549,41,28,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,7,0.0,0.0,0.03919873927492008,0.03939110726493315,100,0.83,0.83,0.83,0.83,0.0,0.017991992191862205,,,,,,,
