trial_id,kind,class_name,height_m,speed_mps,status,measurement_completeness_status,artifact_set_complete,performance_verdict,performance_hard_failure,performance_failure_reasons,performance_metric_failure_reasons,p_confirm,p_selected,p_interrupt,stable_id,confirmation_exposure_sec,confirmation_processing_ms,confirmation_pipeline_ms,processing_receipt_reordered,stage_trace_enabled,complete_mapped_frames,partial_only_mapped_frames,complete_mapped_rate,partial_source_sets,p95_detector_inference_ms,p95_detector_processing_ms,eligible_frames,raw_class_frames,raw_geometry_frames,resolved_frames,refined_frames,geometry_verified_frames,association_valid_frames,center_refined_frames,detection_frames,map_valid_frames,failure_stage,map_invalid_rate,map_unavailable_rate,tf_failure_rate,mean_map_error_xy,p95_map_error_xy,map_error_sample_count,entered_fully_in_frame,left_fully_in_frame,expected_duration_sec,actual_duration_sec,expected_speed_mps,actual_speed_mps,camera_pose_frame_count,motion_sample_count,lateral_offset_sample_count,mean_actual_linear_speed_mps,p95_actual_linear_speed_mps,mean_abs_actual_yaw_rate_radps,p95_abs_actual_yaw_rate_radps,mean_abs_normalized_lateral_offset,p95_abs_normalized_lateral_offset,class_group_completed_trials,class_group_p_confirm,class_group_p_selected,class_group_mean_actual_linear_speed_mps,class_group_p95_abs_normalized_lateral_offset,height_group_completed_trials,height_group_p_confirm,height_group_p_selected,height_group_mean_actual_linear_speed_mps,height_group_p95_abs_normalized_lateral_offset,speed_group_completed_trials,speed_group_p_confirm,speed_group_p_selected,speed_group_mean_actual_linear_speed_mps,speed_group_p95_abs_normalized_lateral_offset,confirmed_observations,unexpected_confirmed_observations,disallowed_confirmed_observations,unique_confirmed_targets,policy_rejected_confirmed_observations,selected_observations,unexpected_selected_observations,disallowed_selected_observations,unique_selected_targets,policy_rejected_selected_observations,tank_confirmed_observations,tank_selected_observations,navigation_metrics_mode,navigation_target_stage_capability,navigation_metrics_reason,p_decision,p_dispatch,p_planner_arrival,p_interrupt_reason,navigation_binding_keys,navigation_validation_errors,lateral_bin,visibility_profile,p_confirm_visibility,p_selected_visibility,entered_visibility_window,left_visibility_window,requested_target_path_lateral_offset_m,requested_pixel_offset_x_normalized,target_lateral_sample_count,mean_target_path_lateral_offset_m,p95_abs_target_path_lateral_offset_m,mean_target_pixel_offset_x_normalized,p95_abs_target_pixel_offset_x_normalized,lateral_group_completed_trials,lateral_group_p_confirm,lateral_group_p_selected,lateral_group_p_confirm_visibility,lateral_group_p_selected_visibility,lateral_group_mean_target_path_lateral_offset_m,lateral_group_mean_target_pixel_offset_x_normalized,design_kind,relative_angle_deg,motion_profile,framing,relative_angle_measurement,planned_sample_count,expected_primary_target_id
dynamic_tent_h1p2_v0p5,dynamic,tent,1.2,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.10000000000002274,,92.41052599827526,False,True,116,146,0.44274809160305345,"{""circle_detector"": 8, ""circle_detector+cross_detector"": 92, ""circle_detector+target_detector"": 6, ""cross_detector"": 24, ""cross_detector+target_detector"": 13, ""target_detector"": 3}",70.34015,74.58485,4,2,4,2,2,2,2,2,2,2,,0.0,0.5,0.0,0.07086823616447749,0.07452160726497836,2,True,True,14.0,14.015,0.5,0.4994648590795576,281,240,241,0.4993963867844945,0.7581585081593758,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.85,0.8,0.9797000102768594,0.0,25,0.92,0.92,0.5053381846224176,0.0,65,51,31,6,34,31,18,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,4,0.0,0.0,0.000134343924724023,0.00029414951603964565,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h1p2_v1p0,dynamic,tent,1.2,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.06600000000003092,,96.60998699837364,False,True,59,84,0.4125874125874126,"{""circle_detector"": 7, ""circle_detector+cross_detector"": 47, ""circle_detector+target_detector"": 4, ""cross_detector"": 18, ""cross_detector+target_detector"": 6, ""target_detector"": 2}",58.806,62.677,2,1,2,1,1,1,1,1,0,0,,,1.0,,,,0,True,True,7.0,7.0,1.0,1.0,170,129,130,1.019153753357251,1.499808208668056,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.85,0.8,0.9797000102768594,0.0,25,0.92,0.92,1.014961714381675,0.0,27,22,12,6,15,12,8,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,2,0.0,0.0,9.67408710318196e-05,0.00021867765246112112,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h1p2_v1p5,dynamic,tent,1.2,1.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,6,0.0,0.0,122.93546600267291,True,True,57,49,0.5377358490566038,"{""circle_detector"": 5, ""circle_detector+cross_detector"": 30, ""cross_detector"": 12, ""cross_detector+target_detector"": 2}",85.192,87.958,1,1,1,1,1,1,1,1,1,1,,0.0,0.0,0.0,0.05200233728795311,0.05200233728795311,1,True,True,4.666666666666667,4.674,1.5,1.4976465554129224,125,85,86,1.5425882817882868,2.3401162790674044,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.85,0.8,0.9797000102768594,0.0,25,0.84,0.84,1.510465189629614,0.0,23,17,10,6,13,10,5,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,1,0.0,0.0,5.914242288387328e-05,5.914242288387328e-05,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h1p2_v2p0,dynamic,tent,1.2,2.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,False,,5,0.1289999999999054,,103.37999700277578,False,True,40,43,0.4819277108433735,"{""circle_detector"": 1, ""circle_detector+cross_detector"": 33, ""circle_detector+target_detector"": 1, ""cross_detector"": 6, ""cross_detector+target_detector"": 1, ""target_detector"": 1}",25.774,27.776,1,1,1,1,1,1,1,1,1,1,,0.0,0.0,0.0,0.07581455134540517,0.07581455134540517,1,True,True,3.5,3.513,2.0,1.9925989183034445,98,63,64,1.9055047637233522,3.074074074069484,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.85,0.8,0.9797000102768594,0.0,25,0.8,0.76,2.0205751998362222,0.0,19,14,8,6,11,8,4,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,False,True,True,0.0,0.0,1,0.0,0.0,0.0003035504992521254,0.0003035504992521254,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h1p8_v0p5,dynamic,tent,1.8,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.0,,111.46114799339557,False,True,125,138,0.4752851711026616,"{""circle_detector"": 15, ""circle_detector+cross_detector"": 82, ""circle_detector+target_detector"": 5, ""cross_detector"": 19, ""cross_detector+target_detector"": 14, ""target_detector"": 3}",134.57039999999998,138.478,13,9,11,9,9,9,9,9,9,9,,0.0,0.3076923076923077,0.0,0.10356334338960353,0.10835710693744297,9,True,True,14.0,14.002,0.5,0.4999285816311955,286,247,249,0.48941839499973294,0.7352941176447889,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.95,0.95,0.9571177101602647,0.0,25,0.92,0.92,0.5053381846224176,0.0,137,107,67,6,70,64,35,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,13,0.0,0.0,0.0001936159419123703,0.0006318789162450501,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h1p8_v1p0,dynamic,tent,1.8,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.0,0.0,132.87077999848407,True,True,69,78,0.46938775510204084,"{""circle_detector"": 12, ""circle_detector+cross_detector"": 42, ""circle_detector+target_detector"": 4, ""cross_detector"": 11, ""cross_detector+target_detector"": 9}",79.72415,82.43794999999999,7,4,6,4,4,4,4,4,3,3,,0.0,0.5714285714285714,0.0,0.1079437792910212,0.10847277122403332,3,True,True,7.0,7.001,1.0,0.999857163262391,162,121,122,0.9993302802558773,1.6666666666555447,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.95,0.95,0.9571177101602647,0.0,25,0.92,0.92,1.014961714381675,0.0,71,55,34,6,37,33,18,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,7,0.0,0.0,0.00027844834760273326,0.0007070602674817472,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h1p8_v1p5,dynamic,tent,1.8,1.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.06799999999998363,0.0,91.67480999894906,True,True,50,53,0.4854368932038835,"{""circle_detector"": 3, ""circle_detector+cross_detector"": 34, ""circle_detector+target_detector"": 1, ""cross_detector"": 7, ""cross_detector+target_detector"": 7, ""target_detector"": 1}",106.093,110.51675,5,4,5,4,4,4,4,4,4,4,,0.0,0.2,0.0,0.09487736744977487,0.10728129750345891,4,True,True,4.666666666666667,4.671,1.5,1.4986084350246198,123,81,82,1.4770536853903713,2.0833333333299575,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.95,0.95,0.9571177101602647,0.0,25,0.84,0.84,1.510465189629614,0.0,49,40,23,6,26,22,14,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,5,0.0,0.0,0.00010046475285943047,0.0005957174437650537,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h1p8_v2p0,dynamic,tent,1.8,2.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.09999999999990905,,61.76868200418539,False,True,41,50,0.45054945054945056,"{""circle_detector"": 4, ""circle_detector+cross_detector"": 32, ""circle_detector+target_detector"": 1, ""cross_detector"": 8, ""cross_detector+target_detector"": 4, ""target_detector"": 1}",69.4855,72.11825,2,2,1,2,2,1,1,1,1,1,,0.0,0.5,0.0,0.10666022050615831,0.10666022050615831,1,True,True,3.5,3.508,2.0,1.9954389965792474,103,60,61,1.9635390971144766,2.947626418998609,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.95,0.95,0.9571177101602647,0.0,25,0.8,0.76,2.0205751998362222,0.0,23,20,10,6,13,10,8,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,2,0.0,0.0,0.00020327297661868471,0.00038375662309297453,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h2p4_v0p5,dynamic,tent,2.4,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.0,0.0,88.54181000060635,True,True,116,154,0.42962962962962964,"{""circle_detector"": 17, ""circle_detector+cross_detector"": 80, ""circle_detector+target_detector"": 8, ""cross_detector"": 27, ""cross_detector+target_detector"": 17, ""target_detector"": 5}",78.67345,82.10714999999999,22,14,21,13,13,12,12,12,11,11,,0.0,0.5,0.0,0.13023328614763569,0.14003170222422787,11,True,True,14.0,14.007,0.5,0.49975012493753124,297,255,256,0.5002722545361308,0.7812499999979267,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.95,0.95,0.9670348935235304,0.0,25,0.92,0.92,0.5053381846224176,0.0,143,108,80,7,88,51,21,0,4,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,22,0.0,0.0,0.00021248423923764552,0.0008636769737637806,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h2p4_v1p0,dynamic,tent,2.4,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.03499999999985448,,125.56566100101918,False,True,54,80,0.40298507462686567,"{""circle_detector"": 2, ""circle_detector+cross_detector"": 46, ""circle_detector+target_detector"": 5, ""cross_detector"": 13, ""cross_detector+target_detector"": 12, ""target_detector"": 2}",222.84419999999994,230.11799999999997,10,9,7,9,9,7,7,7,7,7,,0.0,0.3,0.0,0.12115628883540999,0.1381384722671722,7,True,True,7.0,7.008,1.0,0.9988584474885844,163,121,122,1.006285536646975,1.515151515156033,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.95,0.95,0.9670348935235304,0.0,25,0.92,0.92,1.014961714381675,0.0,44,32,27,5,29,15,4,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,10,0.0,0.0,9.668786380220951e-05,0.0007650103455018619,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h2p4_v1p5,dynamic,tent,2.4,1.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.04299999999989268,,111.367187993892,False,True,41,62,0.39805825242718446,"{""circle_detector"": 6, ""circle_detector+cross_detector"": 27, ""circle_detector+target_detector"": 3, ""cross_detector"": 15, ""cross_detector+target_detector"": 8, ""target_detector"": 3}",110.76304999999999,115.67784999999999,7,2,5,2,2,2,2,2,2,2,,0.0,0.7142857142857143,0.0,0.11487047474343161,0.13570498601084383,2,True,True,4.666666666666667,4.678,1.5,1.496365968362548,123,81,82,1.5060599830534886,2.2727272727262,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.95,0.95,0.9670348935235304,0.0,25,0.84,0.84,1.510465189629614,0.0,44,32,25,6,28,15,5,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,7,0.0,0.0,0.0002524520558621798,0.0008514610469739025,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h2p4_v2p0,dynamic,tent,2.4,2.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],False,False,,,,,,False,True,35,54,0.39325842696629215,"{""circle_detector"": 3, ""circle_detector+cross_detector"": 32, ""circle_detector+target_detector"": 1, ""cross_detector"": 10, ""cross_detector+target_detector"": 4, ""target_detector"": 4}",,,3,0,3,0,0,0,0,0,0,0,raw_classifier,,1.0,,,,0,True,True,3.5,3.507,2.0,1.996007984031936,111,62,64,2.0221991472556686,3.2247725392940056,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.95,0.95,0.9670348935235304,0.0,25,0.8,0.76,2.0205751998362222,0.0,27,23,15,6,18,9,6,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,False,False,True,True,0.0,0.0,3,0.0,0.0,0.00030349558821575565,0.0007509101595798739,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h3p0_v0p5,dynamic,tent,3.0,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,5,0.2680000000000291,115.18491400056519,87.70076700602658,False,True,102,139,0.42323651452282157,"{""circle_detector"": 11, ""circle_detector+cross_detector"": 79, ""circle_detector+target_detector"": 8, ""cross_detector"": 27, ""cross_detector+target_detector"": 11, ""target_detector"": 3}",117.119,128.599,26,13,20,13,13,13,13,13,13,13,,0.0,0.5,0.0,0.16276597135686297,0.17236998278163254,13,True,True,14.0,14.015,0.5,0.4994648590795576,276,239,240,0.5095713085094365,0.8333333333340827,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.8,0.8,0.967294690867376,0.0,25,0.92,0.92,0.5053381846224176,0.0,150,107,90,5,92,58,16,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,26,0.0,0.0,0.00010679474757030206,0.0008505209275812664,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h3p0_v1p0,dynamic,tent,3.0,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,5,0.3289999999999509,18.500332000257913,112.05173499911325,False,True,52,84,0.38235294117647056,"{""circle_detector"": 8, ""circle_detector+cross_detector"": 46, ""circle_detector+target_detector"": 5, ""cross_detector"": 16, ""cross_detector+target_detector"": 7, ""target_detector"": 2}",86.5522,92.7428,12,5,10,4,4,4,4,4,3,3,,0.0,0.75,0.0,0.13965387070395285,0.15579532007013622,3,True,True,7.0,7.011,1.0,0.9984310369419483,163,119,120,1.005451702106462,1.595238095241093,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.8,0.8,0.967294690867376,0.0,25,0.92,0.92,1.014961714381675,0.0,66,50,40,5,42,24,9,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,12,0.0,0.0,9.668288625211592e-05,0.0007479016521418644,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h3p0_v1p5,dynamic,tent,3.0,1.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,5,0.19899999999984175,,102.53738800383871,False,True,42,63,0.4,"{""circle_detector"": 7, ""circle_detector+cross_detector"": 34, ""circle_detector+target_detector"": 1, ""cross_detector"": 12, ""cross_detector+target_detector"": 8, ""target_detector"": 1}",117.0726,124.6394,9,5,7,5,5,5,5,5,5,5,,0.0,0.4444444444444444,0.0,0.14260453387317198,0.16746116277081807,5,True,True,4.666666666666667,4.684,1.5,1.4944491887275833,121,83,84,1.5146102346242283,2.4439775910398787,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.8,0.8,0.967294690867376,0.0,25,0.84,0.84,1.510465189629614,0.0,49,34,27,5,29,20,6,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,9,0.0,0.0,9.290319953504501e-05,0.0008442920977058676,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h3p0_v2p0,dynamic,tent,3.0,2.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.16599999999993997,,247.56533199979458,False,True,32,47,0.4050632911392405,"{""circle_detector"": 2, ""circle_detector+cross_detector"": 29, ""circle_detector+target_detector"": 2, ""cross_detector"": 8, ""cross_detector+target_detector"": 4, ""target_detector"": 2}",173.79879999999997,189.97,6,3,5,3,3,3,3,3,3,3,,0.0,0.5,0.0,0.13021756149310482,0.16518782066324425,3,True,True,3.5,3.504,2.0,1.9977168949771689,95,57,59,1.9968147933327516,2.90363590135639,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.8,0.8,0.967294690867376,0.0,25,0.8,0.76,2.0205751998362222,0.0,28,21,17,5,19,9,3,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,6,0.0,0.0,0.00027341249448712784,0.0007997743160435445,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h3p6_v0p5,dynamic,tent,3.6,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.4579999999998563,81.82685999781825,155.20007099985378,False,True,94,155,0.37751004016064255,"{""circle_detector"": 17, ""circle_detector+cross_detector"": 91, ""circle_detector+target_detector"": 5, ""cross_detector"": 17, ""cross_detector+target_detector"": 22, ""target_detector"": 3}",103.082,112.48325000000001,31,16,25,16,16,16,16,16,15,15,,0.0,0.5161290322580645,0.0,0.1998141208665957,0.21021990730606438,15,True,True,14.0,14.002,0.5,0.4999285816311955,289,243,244,0.49422446276732096,0.7575757575772268,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.8,0.8,0.9607356938732866,0.0,25,0.92,0.92,0.5053381846224176,0.0,139,102,82,5,84,55,19,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,31,0.0,0.0,0.00016397908059385572,0.0009770580408629214,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h3p6_v1p0,dynamic,tent,3.6,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.13399999999978718,,83.3203720030724,False,True,56,76,0.42424242424242425,"{""circle_detector"": 6, ""circle_detector+cross_detector"": 45, ""circle_detector+target_detector"": 3, ""cross_detector"": 15, ""cross_detector+target_detector"": 5, ""target_detector"": 2}",129.3397,140.584,17,7,13,7,7,7,7,7,7,7,,0.0,0.5882352941176471,0.0,0.18933879003880041,0.20215628159140367,7,True,True,7.0,7.001,1.0,0.999857163262391,154,118,119,1.0497230046201496,1.7307692307692701,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.8,0.8,0.9607356938732866,0.0,25,0.92,0.92,1.014961714381675,0.0,74,56,45,5,47,27,10,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,17,0.0,0.0,3.728918209585848e-05,0.00098269504817587,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h3p6_v1p5,dynamic,tent,3.6,1.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,4,0.09999999999990905,,125.87911599985091,False,True,38,63,0.37623762376237624,"{""circle_detector"": 6, ""circle_detector+cross_detector"": 41, ""circle_detector+target_detector"": 2, ""cross_detector"": 5, ""cross_detector+target_detector"": 8, ""target_detector"": 1}",100.9616,106.31240000000001,12,4,11,4,4,4,4,4,3,3,,0.0,0.75,0.0,0.18805872511811034,0.20266867407083558,3,True,True,4.666666666666667,4.684,1.5,1.4944491887275833,126,89,90,1.4789101671973173,2.4039938556110236,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.8,0.8,0.9607356938732866,0.0,25,0.84,0.84,1.510465189629614,0.0,34,22,20,5,22,12,1,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,12,0.0,0.0,3.711558102391283e-05,0.0008533401703287867,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_tent_h3p6_v2p0,dynamic,tent,3.6,2.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,3,0.44399999999996,,139.6472190026543,False,True,32,47,0.4050632911392405,"{""circle_detector"": 8, ""circle_detector+cross_detector"": 20, ""circle_detector+target_detector"": 2, ""cross_detector"": 12, ""cross_detector+target_detector"": 4, ""target_detector"": 1}",105.1848,112.69940000000001,8,3,6,3,3,2,2,2,1,1,,0.0,0.875,0.0,0.20646520324656248,0.20646520324656248,1,True,True,3.5,3.5140000000000002,2.0,1.99203187250996,100,45,46,2.025257801508583,3.1060606060682416,0.0,0.0,0.0,0.0,20,0.95,0.9,0.9559258496531879,0.0,20,0.8,0.8,0.9607356938732866,0.0,25,0.8,0.76,2.0205751998362222,0.0,18,12,10,5,12,6,1,0,2,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,8,0.0,0.0,0.00022511129879634328,0.0010453334553485938,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_pillbox_h1p2_v0p5,dynamic,pillbox,1.2,0.5,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,2,0.03600000000005821,,162.5477480047266,False,True,110,148,0.4263565891472868,"{""circle_detector"": 8, ""circle_detector+cross_detector"": 88, ""circle_detector+target_detector"": 7, ""cross_detector"": 29, ""cross_detector+target_detector"": 12, ""target_detector"": 4}",105.553,109.921,2,1,2,1,1,1,1,1,1,1,,0.0,0.5,0.0,0.06263245432481579,0.06263245432481579,1,True,True,14.0,14.019,0.5,0.499322348241672,294,245,246,0.5031410205868878,0.797999565122349,0.0,0.0,0.0,0.0,20,0.5,0.5,0.9524154734741311,0.0,20,0.85,0.8,0.9797000102768594,0.0,25,0.92,0.92,0.5053381846224176,0.0,81,67,39,6,42,39,26,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,2,0.0,0.0,0.00012494780531913108,0.00015032948222385657,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
dynamic_pillbox_h1p2_v1p0,dynamic,pillbox,1.2,1.0,completed,DIAGNOSTIC,True,DIAGNOSTIC_ONLY,False,"[""diagnostic_subset_not_gate""]",[],True,True,,2,0.0,,203.11685500200838,False,True,63,77,0.45,"{""circle_detector"": 4, ""circle_detector+cross_detector"": 50, ""circle_detector+target_detector"": 3, ""cross_detector"": 15, ""cross_detector+target_detector"": 4, ""target_detector"": 1}",147.778,152.497,1,1,1,1,1,1,1,1,1,1,,0.0,0.0,0.0,0.05463166723118257,0.05463166723118257,1,True,True,7.0,7.011,1.0,0.9984310369419483,158,119,120,0.9964699486267365,1.4705882352895623,0.0,0.0,0.0,0.0,20,0.5,0.5,0.9524154734741311,0.0,20,0.85,0.8,0.9797000102768594,0.0,25,0.92,0.92,1.014961714381675,0.0,37,31,17,6,20,17,12,0,3,0,0,0,visual_only,False,navigation_topics_not_subscribed,,,,visual_only_no_navigation_acceptance_event,[],[],,full,True,True,True,True,0.0,0.0,1,0.0,0.0,0.00019075111798532162,0.00019075111798532162,100,0.87,0.86,0.87,0.86,0.0,0.0001510065440665649,,,,,,,
